Calibration metrics:
x243: Cal. error 0.1610, RMSE 0.1374, R2 0.4111
x244: Cal. error 0.1740, RMSE 0.1349, R2 0.3947
x245: Cal. error 0.1620, RMSE 0.1350, R2 0.3777
x246: Cal. error 0.1970, RMSE 0.1345, R2 0.3691
x247: Cal. error 0.1990, RMSE 0.1334, R2 0.3551
x248: Cal. error 0.1910, RMSE 0.1339, R2 0.3505
x249: Cal. error 0.1450, RMSE 0.1380, R2 0.3284
x250: Cal. error 0.1410, RMSE 0.1431, R2 0.3088
x251: Cal. error 0.1620, RMSE 0.1493, R2 0.2864
x252: Cal. error 0.1480, RMSE 0.1487, R2 0.2764
x253: Cal. error 0.1560, RMSE 0.1476, R2 0.2810
x254: Cal. error 0.1540, RMSE 0.1451, R2 0.3070
x255: Cal. error 0.1740, RMSE 0.1445, R2 0.3172
x256: Cal. error 0.1010, RMSE 0.0841, R2 0.7388
x257: Cal. error 0.0230, RMSE 0.0837, R2 0.7711
x258: Cal. error 0.0260, RMSE 0.0884, R2 0.7909
x259: Cal. error 0.0260, RMSE 0.0879, R2 0.8153
x260: Cal. error 0.0240, RMSE 0.0847, R2 0.8302
x261: Cal. error 0.0250, RMSE 0.0802, R2 0.8501
x262: Cal. error 0.0160, RMSE 0.0770, R2 0.8594
x263: Cal. error 0.0260, RMSE 0.0721, R2 0.8701
x264: Cal. error 0.0520, RMSE 0.0707, R2 0.8798
x265: Cal. error 0.0390, RMSE 0.0710, R2 0.8816
x266: Cal. error 0.0820, RMSE 0.0723, R2 0.8746
x267: Cal. error 0.1150, RMSE 0.0727, R2 0.8637
x268: Cal. error 0.1020, RMSE 0.0731, R2 0.8559
x269: Cal. error 0.0780, RMSE 0.0727, R2 0.8579
x270: Cal. error 0.0790, RMSE 0.0702, R2 0.8687
x271: Cal. error 0.0420, RMSE 0.0663, R2 0.8793
x272: Cal. error 0.0360, RMSE 0.0615, R2 0.8876
x273: Cal. error 0.0570, RMSE 0.0590, R2 0.8897
x274: Cal. error 0.0610, RMSE 0.0585, R2 0.8854
x275: Cal. error 0.0580, RMSE 0.0604, R2 0.8757
x276: Cal. error 0.0380, RMSE 0.0635, R2 0.8615
x277: Cal. error 0.0240, RMSE 0.0681, R2 0.8435
x278: Cal. error 0.0190, RMSE 0.0736, R2 0.8265
x279: Cal. error 0.0240, RMSE 0.0784, R2 0.8145
x280: Cal. error 0.0310, RMSE 0.0800, R2 0.8060
x281: Cal. error 0.0300, RMSE 0.0842, R2 0.7929
x282: Cal. error 0.0220, RMSE 0.0937, R2 0.7790
x283: Cal. error 0.0140, RMSE 0.0955, R2 0.7680
x284: Cal. error 0.0240, RMSE 0.0944, R2 0.7555
x285: Cal. error 0.0390, RMSE 0.0921, R2 0.7512
x286: Cal. error 0.0280, RMSE 0.0882, R2 0.7575
x287: Cal. error 0.0210, RMSE 0.0817, R2 0.7603
x288: Cal. error 0.0810, RMSE 0.0771, R2 0.7585
x289: Cal. error 0.1420, RMSE 0.0763, R2 0.7521
x290: Cal. error 0.1730, RMSE 0.0784, R2 0.7478
x291: Cal. error 0.2180, RMSE 0.0839, R2 0.7428
